"","rn","Estimate","Est.Error","Q2.5","Q97.5"
"1644","MMTLincoln MKZ/Lincoln MKZ Hybrid:MY2018:MileGrpATC1","1.87171619589474e-09","2.9366392243043e-07","-5.79031875e-07","5.99081475e-07"
"1645","MMTLincoln MKZ/Lincoln MKZ Hybrid:MY2018:MileGrpATC2","8.14732995385965e-10","2.98108074016845e-07","-5.950622e-07","5.99468599999999e-07"
"1646","MMTLincoln MKZ/Lincoln MKZ Hybrid:MY2018:MileGrpATC3","0",".",".","."
"1647","MMTLincoln MKZ/Lincoln MKZ Hybrid:MY2019","-4.2586333230307e-09","5.00305853303431e-07","-1.00150575e-06","9.91968424999998e-07"
"1648","MMTLincoln MKZ/Lincoln MKZ Hybrid:MY2019:MileGrpATC1","6.1641159381886e-10","2.33957299409813e-07","-4.7220445e-07","4.7165685e-07"
"1649","MMTLincoln MKZ/Lincoln MKZ Hybrid:MY2019:MileGrpATC2","6.57686932855702e-10","2.62433887271235e-07","-5.3030765e-07","5.23919924999999e-07"
"1650","MMTLincoln MKZ/Lincoln MKZ Hybrid:MY2019:MileGrpATC3","0",".",".","."
"1651","MMTLincoln MKZ/Lincoln MKZ Hybrid:MY2020","0",".",".","."
"1652","MMTLincoln MKZ/Lincoln MKZ Hybrid:MY2020:MileGrpATC1","-3.27764008692018e-09","5.10592235274756e-07","-1.0279705e-06","1.0214085e-06"
"1653","MMTLincoln MKZ/Lincoln MKZ Hybrid:MY2020:MileGrpATC2","-5.96595692354517e-09","6.11030505566521e-07","-1.2267505e-06","1.2212925e-06"
"1654","MMTLincoln MKZ/Lincoln MKZ Hybrid:MY2020:MileGrpATC3","0",".",".","."
"1655","MMTLincoln Nautilus","0.000166724087376579","0.019348126363123","-0.0378081875","0.0380069475"
"1656","MMTLincoln Nautilus:MY2019","0.0261543449152075","0.0222127712560508","-0.017508775","0.0698944349999999"
"1657","MMTLincoln Nautilus:MY2019:MileGrpATC1","-0.0263054823236794","0.0134194009353629","-0.052414525","0.000385198349999921"
"1658","MMTLincoln Nautilus:MY2019:MileGrpATC2","-0.0263380037114781","0.0136532613845826","-0.05295182","0.000319986599999991"
"1659","MMTLincoln Nautilus:MY2019:MileGrpATC3","0",".",".","."
"1660","MMTLincoln Nautilus:MY2020","0",".",".","."
"1661","MMTLincoln Nautilus:MY2020:MileGrpATC1","-0.000195289089860088","0.024566303915882","-0.0484585725","0.0482228175"
