"","rn","Estimate","Est.Error","Q2.5","Q97.5"
"677","MMTChrysler 300:MY2018:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"678","MMTChrysler 300:MY2018:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"679","MMTChrysler 300:MY2018:MileGrpATC3","0",".",".","."
"680","MMTChrysler 300:MY2019","-1e+13","0","-1e+13","-1e+13"
"681","MMTChrysler 300:MY2019:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"682","MMTChrysler 300:MY2019:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"683","MMTChrysler 300:MY2019:MileGrpATC3","0",".",".","."
"684","MMTChrysler 300:MY2020","0",".",".","."
"685","MMTChrysler 300:MY2020:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"686","MMTChrysler 300:MY2020:MileGrpATC3","0",".",".","."
"687","MMTChrysler Aspen/Dodge Durango","-1e+13","0","-1e+13","-1e+13"
"688","MMTChrysler Aspen/Dodge Durango:MY2018","-1e+13","0","-1e+13","-1e+13"
"689","MMTChrysler Aspen/Dodge Durango:MY2018:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"690","MMTChrysler Aspen/Dodge Durango:MY2018:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"691","MMTChrysler Aspen/Dodge Durango:MY2018:MileGrpATC3","0",".",".","."
"692","MMTChrysler Aspen/Dodge Durango:MY2019","-1e+13","0","-1e+13","-1e+13"
"693","MMTChrysler Aspen/Dodge Durango:MY2019:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"694","MMTChrysler Aspen/Dodge Durango:MY2019:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"695","MMTChrysler Aspen/Dodge Durango:MY2019:MileGrpATC3","0",".",".","."
"696","MMTChrysler Aspen/Dodge Durango:MY2020","0",".",".","."
"697","MMTChrysler Aspen/Dodge Durango:MY2020:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"698","MMTChrysler Aspen/Dodge Durango:MY2020:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"699","MMTChrysler Aspen/Dodge Durango:MY2020:MileGrpATC3","0",".",".","."
"700","MMTChrysler Pacifica","-6.73964272763158","2.76725311709662","-13.3428125","-2.772619"
"701","MMTChrysler Pacifica:MY2018","2.16991758138522","2.86200804510052","-2.23540425","8.76135925"
"702","MMTChrysler Pacifica:MY2018:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"703","MMTChrysler Pacifica:MY2018:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"704","MMTChrysler Pacifica:MY2018:MileGrpATC3","0",".",".","."
"705","MMTChrysler Pacifica:MY2019","1.8145040769314","3.02566884067301","-3.290253","8.649583"
"706","MMTChrysler Pacifica:MY2019:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"707","MMTChrysler Pacifica:MY2019:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"708","MMTChrysler Pacifica:MY2019:MileGrpATC3","0",".",".","."
"709","MMTChrysler Pacifica:MY2020","0",".",".","."
"710","MMTChrysler Pacifica:MY2020:MileGrpATC1","2.42587533303667","3.0226698570219","-2.5540005","9.2684155"
"711","MMTChrysler Pacifica:MY2020:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"712","MMTChrysler Pacifica:MY2020:MileGrpATC3","0",".",".","."
"713","MMTChrysler Town & Country/Dodge Grand Caravan/Chrysler Voyager/Dodge Caravan","-6.85594456853553","4.06380013913283","-16.18471","-0.861458675000001"
"714","MMTChrysler Town & Country/Dodge Grand Caravan/Chrysler Voyager/Dodge Caravan:MY2018","3.45118147785671","4.12944274765866","-2.7992855","12.89569"
"715","MMTChrysler Town & Country/Dodge Grand Caravan/Chrysler Voyager/Dodge Caravan:MY2018:MileGrpATC1","0.430974016704329","1.54993624567051","-2.9985635","3.175582"
"716","MMTChrysler Town & Country/Dodge Grand Caravan/Chrysler Voyager/Dodge Caravan:MY2018:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"717","MMTChrysler Town & Country/Dodge Grand Caravan/Chrysler Voyager/Dodge Caravan:MY2018:MileGrpATC3","0",".",".","."
"718","MMTChrysler Town & Country/Dodge Grand Caravan/Chrysler Voyager/Dodge Caravan:MY2019","-3.64801495446407","5.64448037729817","-15.451105","7.12436174999997"
"719","MMTChrysler Town & Country/Dodge Grand Caravan/Chrysler Voyager/Dodge Caravan:MY2019:MileGrpATC1","6.57692867964035","4.96019902620065","-0.8767465","17.9377325"
"720","MMTChrysler Town & Country/Dodge Grand Caravan/Chrysler Voyager/Dodge Caravan:MY2019:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"721","MMTChrysler Town & Country/Dodge Grand Caravan/Chrysler Voyager/Dodge Caravan:MY2019:MileGrpATC3","0",".",".","."
"722","MMTChrysler Town & Country/Dodge Grand Caravan/Chrysler Voyager/Dodge Caravan:MY2020","0",".",".","."
"723","MMTChrysler Town & Country/Dodge Grand Caravan/Chrysler Voyager/Dodge Caravan:MY2020:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"724","MMTChrysler Town & Country/Dodge Grand Caravan/Chrysler Voyager/Dodge Caravan:MY2020:MileGrpATC3","0",".",".","."
"725","MMTDodge Challenger","-1e+13","0","-1e+13","-1e+13"
"726","MMTDodge Challenger:MY2018","-1e+13","0","-1e+13","-1e+13"
"727","MMTDodge Challenger:MY2018:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"728","MMTDodge Challenger:MY2018:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"729","MMTDodge Challenger:MY2018:MileGrpATC3","0",".",".","."
"730","MMTDodge Challenger:MY2019","-1e+13","0","-1e+13","-1e+13"
"731","MMTDodge Challenger:MY2019:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"732","MMTDodge Challenger:MY2019:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"733","MMTDodge Challenger:MY2019:MileGrpATC3","0",".",".","."
"734","MMTDodge Challenger:MY2020","0",".",".","."
"735","MMTDodge Challenger:MY2020:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"736","MMTDodge Challenger:MY2020:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"737","MMTDodge Challenger:MY2020:MileGrpATC3","0",".",".","."
"738","MMTDodge Charger","-1e+13","0","-1e+13","-1e+13"
"739","MMTDodge Charger:MY2018","-1e+13","0","-1e+13","-1e+13"
"740","MMTDodge Charger:MY2018:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"741","MMTDodge Charger:MY2018:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"742","MMTDodge Charger:MY2018:MileGrpATC3","0",".",".","."
"743","MMTDodge Charger:MY2019","-1e+13","0","-1e+13","-1e+13"
"744","MMTDodge Charger:MY2019:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"745","MMTDodge Charger:MY2019:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"746","MMTDodge Charger:MY2019:MileGrpATC3","0",".",".","."
"747","MMTDodge Charger:MY2020","0",".",".","."
"748","MMTDodge Charger:MY2020:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"749","MMTDodge Charger:MY2020:MileGrpATC2","0",".",".","."
"750","MMTDodge Ram 1500/Ram 1500","-7.25669878596491","2.67983552300087","-13.646965","-3.4464255"
"751","MMTDodge Ram 1500/Ram 1500:MY2018","2.39886044377145","2.96920001102021","-2.69065925","9.13669725"
"752","MMTDodge Ram 1500/Ram 1500:MY2018:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"753","MMTDodge Ram 1500/Ram 1500:MY2018:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"754","MMTDodge Ram 1500/Ram 1500:MY2018:MileGrpATC3","0",".",".","."
"755","MMTDodge Ram 1500/Ram 1500:MY2019","3.32497615646934","2.72364727652067","-0.683778375","9.80568275"
"756","MMTDodge Ram 1500/Ram 1500:MY2019:MileGrpATC1","-1.51737687332242","1.4100966623063","-4.79836225","0.752551949999999"
"757","MMTDodge Ram 1500/Ram 1500:MY2019:MileGrpATC2","-1.90516893806228","1.38592770993112","-5.0621295","0.343548225"
"758","MMTDodge Ram 1500/Ram 1500:MY2019:MileGrpATC3","0",".",".","."
"759","MMTDodge Ram 1500/Ram 1500:MY2020","0",".",".","."
"760","MMTDodge Ram 1500/Ram 1500:MY2020:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"761","MMTDodge Ram 1500/Ram 1500:MY2020:MileGrpATC2","2.2355576226057","2.94433429073033","-2.76107125","8.91107625"
"762","MMTDodge Ram 1500/Ram 1500:MY2020:MileGrpATC3","0",".",".","."
