"","MMT","MY","MileGrpATC","prob"
"287","Cadillac XT4","2019","2","-1.19876331083901e-13"
"288","Cadillac XT4","2019","3","0.0588235294116578"
"289","Cadillac XT4","2020","1","-1.19780382021458e-13"
"290","Cadillac XT4","2020","2","-1.20787957147803e-13"
"291","Cadillac XT4","2020","3","-1.20788833687364e-13"
"292","Cadillac XT5","2018","1","0.025641025641057"
"293","Cadillac XT5","2018","2","0.0163934426229703"
"294","Cadillac XT5","2018","3","3.01133806361916e-14"
"295","Cadillac XT5","2019","1","2.94347879403745e-14"
"296","Cadillac XT5","2019","2","0.0169491525423938"
"297","Cadillac XT5","2019","3","0.0222222222222423"
"298","Cadillac XT5","2020","1","9.43991162128432e-15"
"299","Cadillac XT5","2020","2","9.72678086672254e-15"
"300","Cadillac XT5","2020","3","1.0306682726818e-14"
"301","Cadillac XTS","2018","1","4.72630222762867e-14"
"302","Cadillac XTS","2018","2","4.68655061619815e-14"
"303","Cadillac XTS","2018","3","4.68865654215695e-14"
"304","Cadillac XTS","2019","1","5.15676095903807e-14"
"305","Cadillac XTS","2019","2","0.125000000000042"
"306","Cadillac XTS","2019","3","4.81474650385716e-14"
"307","Chevrolet Blazer/GMC Jimmy","2019","1","0.0232558139534939"
"308","Chevrolet Blazer/GMC Jimmy","2019","2","2.2371419405211e-15"
"309","Chevrolet Blazer/GMC Jimmy","2019","3","2.24224574803477e-15"
"310","Chevrolet Blazer/GMC Jimmy","2020","1","-1.54843950764278e-15"
"311","Chevrolet Blazer/GMC Jimmy","2020","2","0.0476190476190589"
"312","Chevrolet Blazer/GMC Jimmy","2020","3","2.74777883902292e-14"
"313","Chevrolet Bolt","2018","1","-1.91062209771516e-14"
"314","Chevrolet Bolt","2018","2","-1.91649361905712e-14"
"315","Chevrolet Bolt","2018","3","-1.93129805069112e-14"
"316","Chevrolet Bolt","2019","1","-2.18247942603397e-14"
"317","Chevrolet Bolt","2019","2","0.0111111111110978"
"318","Chevrolet Bolt","2019","3","-2.5794006571943e-14"
"319","Chevrolet Bolt","2020","1","-2.51927898811407e-14"
"320","Chevrolet Bolt","2020","2","-2.51178641711991e-14"
"321","Chevrolet Bolt","2020","3","-2.48717960784089e-14"
"322","Chevrolet Camaro","2018","1","-8.89108640497025e-15"
"323","Chevrolet Camaro","2018","2","-8.62451065433483e-15"
"324","Chevrolet Camaro","2018","3","-9.04242253285364e-15"
"325","Chevrolet Camaro","2019","1","-8.84452105220572e-15"
"326","Chevrolet Camaro","2019","2","-8.61271575187243e-15"
"327","Chevrolet Camaro","2019","3","-8.68118842577183e-15"
"328","Chevrolet Camaro","2020","1","-9.9915272632596e-15"
"329","Chevrolet Camaro","2020","2","-7.5642668110364e-15"
"330","Chevrolet Camaro","2020","3","-7.35651357421407e-15"
"331","Chevrolet Colorado/GMC Canyon","2018","1","-3.03740220940367e-14"
"332","Chevrolet Colorado/GMC Canyon","2018","2","-3.03728363086327e-14"
"333","Chevrolet Colorado/GMC Canyon","2018","3","-3.02869423929619e-14"
"334","Chevrolet Colorado/GMC Canyon","2019","1","-2.65273913946373e-14"
"335","Chevrolet Colorado/GMC Canyon","2019","2","-2.74363864960492e-14"
"336","Chevrolet Colorado/GMC Canyon","2019","3","0.0185185185184974"
"337","Chevrolet Colorado/GMC Canyon","2020","1","0.0333333333333097"
"338","Chevrolet Colorado/GMC Canyon","2020","2","-1.2417433479588e-14"
"339","Chevrolet Colorado/GMC Canyon","2020","3","-1.19669063528653e-14"
"340","Chevrolet Corvette","2018","1","-2.35589166388878e-14"
"341","Chevrolet Corvette","2018","2","-2.3661225188176e-14"
"342","Chevrolet Corvette","2018","3","-2.33592543335015e-14"
"343","Chevrolet Corvette","2019","1","-2.09169096255419e-14"
"344","Chevrolet Corvette","2019","2","-2.09651442119574e-14"
"345","Chevrolet Corvette","2019","3","-2.09991802363249e-14"
"346","Chevrolet Corvette","2020","1","-2.18949053403206e-14"
"347","Chevrolet Corvette","2020","2","-1.83888107615727e-14"
"348","Chevrolet Cruze","2018","1","0.0256410256409789"
"349","Chevrolet Cruze","2018","2","0.0263157894736395"
"350","Chevrolet Cruze","2018","3","-5.07156169624602e-14"
"351","Chevrolet Cruze","2019","1","-3.50744258701464e-14"
"352","Chevrolet Cruze","2019","2","-3.50985757547918e-14"
"353","Chevrolet Cruze","2019","3","-3.50542220449782e-14"
"354","Chevrolet Equinox/GMC Terrain/Pontiac Torrent","2018","1","0.00591715976330734"
"355","Chevrolet Equinox/GMC Terrain/Pontiac Torrent","2018","2","0.00709219858155368"
"356","Chevrolet Equinox/GMC Terrain/Pontiac Torrent","2018","3","0.01408450704225"
"357","Chevrolet Equinox/GMC Terrain/Pontiac Torrent","2019","1","9.72086994233123e-14"
"358","Chevrolet Equinox/GMC Terrain/Pontiac Torrent","2019","2","0.00938967136159002"
"359","Chevrolet Equinox/GMC Terrain/Pontiac Torrent","2019","3","0.00574712643687459"
"360","Chevrolet Equinox/GMC Terrain/Pontiac Torrent","2020","1","8.80920249177537e-14"
"361","Chevrolet Equinox/GMC Terrain/Pontiac Torrent","2020","2","8.91685477255549e-14"
"362","Chevrolet Equinox/GMC Terrain/Pontiac Torrent","2020","3","7.78383865231127e-14"
"363","Chevrolet Impala","2018","1","-2.43981887295302e-14"
"364","Chevrolet Impala","2018","2","-2.37484482346574e-14"
"365","Chevrolet Impala","2018","3","-2.39164897517547e-14"
"366","Chevrolet Impala","2019","1","-2.22748717615689e-14"
"367","Chevrolet Impala","2019","2","-1.86344077966757e-14"
"368","Chevrolet Impala","2019","3","-2.57702257248256e-14"
"369","Chevrolet Impala","2020","1","-1.65055026214565e-14"
"370","Chevrolet Impala","2020","2","-2.247637409292e-14"
"371","Chevrolet Impala","2020","3","-2.49135660936633e-14"
"372","Chevrolet Malibu","2018","1","-3.22431948573833e-14"
"373","Chevrolet Malibu","2018","2","-3.20360068240773e-14"
"374","Chevrolet Malibu","2018","3","-3.20863538399896e-14"
"375","Chevrolet Malibu","2019","1","-3.23526487901942e-14"
"376","Chevrolet Malibu","2019","2","-3.57850774412505e-14"
"377","Chevrolet Malibu","2019","3","-2.66729250663891e-14"
"378","Chevrolet Malibu","2020","1","-2.97693135604656e-14"
"379","Chevrolet Malibu","2020","2","-3.37644064281377e-14"
"380","Chevrolet Malibu","2020","3","-3.38569587059569e-14"
"381","Chevrolet Silverado 1500 LD/GMC Sierra 1500 Limited","2019","1","0.0238095238095486"
"382","Chevrolet Silverado 1500 LD/GMC Sierra 1500 Limited","2019","2","3.64298231072292e-14"
"383","Chevrolet Silverado 1500 LD/GMC Sierra 1500 Limited","2019","3","3.94131746008653e-14"
"384","Chevrolet Silverado 1500/GMC Sierra 1500","2018","1","-1.914440828088e-14"
"385","Chevrolet Silverado 1500/GMC Sierra 1500","2018","2","-8.79504802320241e-15"
"386","Chevrolet Silverado 1500/GMC Sierra 1500","2018","3","0.0306748466257724"
"387","Chevrolet Silverado 1500/GMC Sierra 1500","2019","1","-3.0739299994309e-15"
"388","Chevrolet Silverado 1500/GMC Sierra 1500","2019","2","0.0149253731343204"
"389","Chevrolet Silverado 1500/GMC Sierra 1500","2019","3","0.00990099009899042"
"390","Chevrolet Silverado 1500/GMC Sierra 1500","2020","1","0.0227272727272604"
"391","Chevrolet Silverado 1500/GMC Sierra 1500","2020","2","0.0131578947368312"
"392","Chevrolet Silverado 1500/GMC Sierra 1500","2020","3","-7.21276144034681e-15"
"393","Chevrolet Silverado 2500HD/GMC Sierra 2500HD","2018","1","2.38814355749593e-14"
"394","Chevrolet Silverado 2500HD/GMC Sierra 2500HD","2018","2","2.43726104434822e-14"
"395","Chevrolet Silverado 2500HD/GMC Sierra 2500HD","2018","3","2.43678252882635e-14"
"396","Chevrolet Silverado 2500HD/GMC Sierra 2500HD","2019","1","2.22668377078025e-14"
"397","Chevrolet Silverado 2500HD/GMC Sierra 2500HD","2019","2","2.11557733480723e-14"
"398","Chevrolet Silverado 2500HD/GMC Sierra 2500HD","2019","3","2.39644881643434e-14"
"399","Chevrolet Silverado 2500HD/GMC Sierra 2500HD","2020","1","2.10671771226953e-14"
"400","Chevrolet Silverado 2500HD/GMC Sierra 2500HD","2020","2","2.37393777110932e-14"
"401","Chevrolet Silverado 2500HD/GMC Sierra 2500HD","2020","3","2.370110289704e-14"
"402","Chevrolet Silverado 3500HD/GMC Sierra 3500HD","2018","1","-1.18713081756384e-13"
"403","Chevrolet Silverado 3500HD/GMC Sierra 3500HD","2018","2","-1.1931666637184e-13"
"404","Chevrolet Silverado 3500HD/GMC Sierra 3500HD","2018","3","-1.19331519716325e-13"
"405","Chevrolet Silverado 3500HD/GMC Sierra 3500HD","2019","1","-1.2102818747195e-13"
"406","Chevrolet Silverado 3500HD/GMC Sierra 3500HD","2019","2","-1.10328413072125e-13"
"407","Chevrolet Silverado 3500HD/GMC Sierra 3500HD","2019","3","0.0588235294116738"
"408","Chevrolet Silverado 3500HD/GMC Sierra 3500HD","2020","1","-1.39140060488707e-13"
"409","Chevrolet Silverado 3500HD/GMC Sierra 3500HD","2020","2","-1.37699784675708e-13"
"410","Chevrolet Silverado 3500HD/GMC Sierra 3500HD","2020","3","-1.37593921717269e-13"
"411","Chevrolet Suburban/GMC Yukon XL","2018","1","6.28827408464011e-16"
"412","Chevrolet Suburban/GMC Yukon XL","2018","2","1.01375404161771e-15"
"413","Chevrolet Suburban/GMC Yukon XL","2018","3","1.21887593812081e-15"
"414","Chevrolet Suburban/GMC Yukon XL","2019","1","-4.6077413985438e-15"
"415","Chevrolet Suburban/GMC Yukon XL","2019","2","0.041666666666671"
"416","Chevrolet Suburban/GMC Yukon XL","2019","3","-1.38687621229112e-15"
"417","Chevrolet Suburban/GMC Yukon XL","2020","1","-1.29589937665936e-14"
"418","Chevrolet Suburban/GMC Yukon XL","2020","2","-1.83614859183602e-14"
"419","Chevrolet Suburban/GMC Yukon XL","2020","3","-1.82867874088392e-14"
"420","Chevrolet Tahoe/GMC Yukon","2018","1","-1.29994644977396e-14"
"421","Chevrolet Tahoe/GMC Yukon","2018","2","-1.26720570104671e-14"
"422","Chevrolet Tahoe/GMC Yukon","2018","3","-1.28062476956099e-14"
"423","Chevrolet Tahoe/GMC Yukon","2019","1","-1.16590521684289e-14"
"424","Chevrolet Tahoe/GMC Yukon","2019","2","-1.2011420975627e-14"
"425","Chevrolet Tahoe/GMC Yukon","2019","3","-1.10391619328396e-14"
